batch,tier,slug,words,dup_pct,title,src
2,T2,peshhernye-goroda-kryma,750,3,"Пещерные города Крыма: список, три группы памятников и как их смотреть",https://jalita.com/guidebook/cave/index.shtml
2,T2,dostoprimechatelnosti-kyz-kermena,1444,1,"Достопримечательности Кыз-Кермена: грот Черепаха, стена, тарапаны и пещеры",https://jalita.com/guidebook/cave/kyz-kermen_places.shtml
3,T2,klimat-na-massive-aj-petri,787,6,"Климат Ай-Петри: погода на плато по сезонам",https://jalita.com/big_yalta/alupka/ai-petry_climate.shtml
3,T2,belbekskij-kanon,572,1,"Бельбекский каньон (Бельбекские ворота): что смотреть и как доехать",https://jalita.com/guidebook/crimea/belbek_canyon.shtml
3,T2,eski-kermen,2814,7,"Эски-Кермен — пещерный город: осадный колодец, храмы, как добраться",https://jalita.com/guidebook/cave/eski-kermen_desc.shtml
3,T2,aj-petri-gora,936,5,"Гора Ай-Петри: высота, зубцы, как подняться и что смотреть",https://jalita.com/big_yalta/alupka/ai-petry.shtml
3,T2,tik-kuyu-osadnyj-kolodets-chufut-kale,1056,8,"Тик-Кую — осадный колодец Чуфут-Кале: как открыли и что смотреть",https://jalita.com/guidebook/cave/chufut-kale_tik_kueu.shtml
3,T2,danilcha-koba,542,6,"Данильча-Коба — пещера-грот с подземным озером на Седам-Кая",https://jalita.com/guidebook/cave_crimea/danilcha-koba.shtml
3,T2,tserkovnyj-grot-kachi-kalona,598,4,"Церковный грот Качи-Кальона и источник святой Анастасии",https://jalita.com/guidebook/cave/kachi-kalion_grotto.shtml
3,T2,kyz-kermen,1130,7,"Кыз-Кермен — городище над Качинской долиной напротив Тепе-Кермена",https://jalita.com/guidebook/cave/kyz-kermen.shtml
3,T2,put-v-yaltu-iz-bahchisaraya-cherez-aj-petri,736,5,"Дорога из Бахчисарая в Ялту через Ай-Петри: что смотреть по пути",https://jalita.com/big_yalta/road/to_yalta_bakhchisaray.shtml
3,T2,mangup,1689,6,"Мангуп (Мангуп-Кале): столица княжества Феодоро — что смотреть",https://jalita.com/guidebook/cave/mangup.shtml
4,T2,bakla,848,3,"Бакла — пещерный город под Симферополем: зерновые ямы, цитадель и тоннель",https://jalita.com/guidebook/cave/bakla.shtml
4,T2,kanatnaya-doroga-mishor-aj-petri,590,1,"Канатная дорога Мисхор — Ай-Петри: станции, безопорный пролёт, история",https://jalita.com/big_yalta/mishor/rope_road_ai-petry.shtml
4,T2,bolshoj-kanon-kryma,974,0,"Большой каньон Крыма: тропа, Ванна молодости, сезон и как доехать",
4,T2,peshhernyj-gorod-mangup-kale,848,4,"Пещерный город Мангуп Кале - крепость Феодоро в Крыму",https://jalita.com/guidebook/cave/mangup.shtml
4,T2,tepe-kermen,578,2,"Тепе-Кермен — пещерный город под Бахчисараем: как добраться и что смотреть",https://jalita.com/guidebook/cave/tepe-kermen.shtml
4,T2,chufut-kale,5057,0,"Чуфут-Кале — пещерный город под Бахчисараем: маршрут, стены, колодцы, кладбище",
4,T2,aj-petri-poezdki-na-goru-dobiraemsya-v-kompanii-i-individualno,1031,0,"Поездки на Ай-Петри зимой: доставка на плато, трассы и прокат",
4,T2,peshhernyj-gorod-kalamita,919,0,"Каламита — крепость над Инкерманом: шесть башен, порт Авлита и монастырь",
4,T2,hanskij-dvorets,911,0,"Ханский дворец в Бахчисарае: что сохранилось, что смотреть и сколько это займёт",
4,T2,peshhernyj-gorod-tepe-kermen,441,0,"Тепе Кермен пещерный город Крыма в Бахчисарае с фото",
5,T2,peshhernyj-gorod-chufut-kale,437,0,"Пещерный город Чуфут-Кале",
5,T2,kachi-kalon,714,0,"Качи-Кальон — пещерный монастырь и тарапаны в долине Качи",
5,T2,chufut-kale-2,422,0,"Экскурсия в пещерный город Чуфут Кале",
5,T2,mangup-kale,411,0,"Экскурсия в пещерный город Крыма Мангуп Кале на джипе",
5,T2,peshhernyj-monastyr-chelter-koba,614,0,"Челтер-Коба — пещерный монастырь святого Феодора на мысе Ай-Тодор",
5,T2,peshhernyj-gorod-eski-kermen,395,0,"Пещерный город Эски-Кермен",
5,T2,gora-aj-petri,394,0,"Гора Ай-Петри",
5,T2,peshhernyj-gorod-bakla,392,0,"Пещерный город Бакла",
5,T2,alimova-balka,662,0,"Алимова балка — ущелье с наскальными рисунками рядом с Качи-Кальоном",
5,T2,peshhernyj-monastyr-chelter-marmara,688,0,"Челтер-Мармара — пещерный монастырь в пять ярусов над Шульской долиной",
6,T2,peshhernyj-gorod-kyz-kermen,376,0,"Пещерный город Кыз-Кермен",
6,T2,kolodets-tik-kuyu,349,0,"Колодец Тик-Кую",
6,T2,drevnij-belbek,323,0,"Экскурсия в пещерные города Крыма -  Три Крепости",
6,T2,kokkozka-goluboy-pritok-reki-belbek-krymskogo-poluostrova,713,0,"Коккозка — «голубой глаз» под Соколиным: пороги, тропа, купание",
6,T2,sfinksy-krepost-i-marsianskoe-ozero,291,0,"Экскурсия на джипе к Марсианскому Озеру, Сфинксам и Крепости",
6,T2,dostoprimechatelnosti-bahchisaraya-s-opisaniem-i-foto-v-krymu,752,0,"Достопримечательности Бахчисарая: что посмотреть в городе и вокруг",
6,T2,puteshestvie-po-kachinskoj-doline,473,0,"Путешествие по Качинской долине: джип-тур из Бахчисарая на 5 часов",
6,T2,uspenskij-monastyr,279,0,"Успенский монастырь",
6,T2,eski-kermen-2,256,0,"Экскурсия в пещерный город Эски Кермен на машине",
6,T2,syujrenskaya-krepost,601,0,"Сюйреньская крепость — башня Феодоро над Бельбекской долиной",
7,T2,tepe-kermen-2,250,0,"Экскурсия в пещерный город Крыма Тепе Кермен в Бахчисарае",
7,T3,zolotaya-rossyp-u-chatyr-daga,1261,99,"Золотая россыпь у Чатыр-дага",https://jalita.com/guidebook/legends/zolotaya_rossip_chatyr-dag.shtml
7,T3,skaly-bliznetsy-u-gurzufa,594,98,"Скалы близнецы у Гурзуфа",https://jalita.com/guidebook/legends/adalary.shtml
7,T3,interery-livadijskogo-dvortsa-1-j-etazh,1703,97,"Интерьеры Ливадийского дворца, 1-й этаж",https://jalita.com/big_yalta/livadia/interior_livadia_1_floor.shtml
7,T3,ekspozitsiya-massandrovskogo-dvortsa-muzeya-5,2202,95,"Экспозиция Массандровского дворца-музея",https://jalita.com/big_yalta/massandra/cabinet_his_majesty.shtml
7,T3,a-p-chekhov-house-museum-in-yalta,973,95,"A. P. Chekhov house-museum in Yalta",https://jalita.com/big_yalta/chehov/index_eng.shtml
7,T3,ayu-dag-medved-gora,963,95,"Аю-Даг (Медведь-гора)",https://jalita.com/big_yalta/gurzuf/geography_3.shtml
7,T3,ot-karagolya-vdol-shosse-yalta-bahchisaraj,721,95,"От Караголя вдоль шоссе Ялта — Бахчисарай",https://jalita.com/big_yalta/forest/karagol_path.shtml
7,T3,prirodnye-dostoprimechatelnosti-simeiza,675,95,"Природные достопримечательности Симеиза",https://jalita.com/big_yalta/simeiz/natural_resources.shtml
7,T3,gurzuf-literaturnyj,1266,94,"Гурзуф литературный",https://jalita.com/big_yalta/gurzuf/literature_1.shtml
8,T3,forosskij-park,985,94,"Форосский парк",https://jalita.com/big_yalta/simeiz/foros_park.shtml
8,T3,naberezhnaya-gurzufa,956,94,"Набережная Гурзуфа",https://jalita.com/big_yalta/gurzuf/naberejnaya.shtml
8,T3,arhitektura-vorontsovskogo-dvortsa,955,94,"Архитектура Воронцовского дворца",https://jalita.com/big_yalta/alupka/architecture_palace.shtml
8,T3,kak-voznikla-yalta,271,94,"Как возникла Ялта?",https://jalita.com/guidebook/legends/yalta.shtml
8,T3,gurzufskaya-dolina,1807,93,"Гурзуфская долина",https://jalita.com/big_yalta/gurzuf/gurzufskaya_dolina.shtml
8,T3,skelet-mamonta-v-peshhere-emine-bair-hosar,816,93,"Скелет мамонта в пещере Эмине-Баир-Хосар",https://jalita.com/guidebook/cave_crimea/emine-bair-hosar_mamont.shtml
8,T3,vodopad-uchan-su,671,93,"Водопад Учан-Су",https://jalita.com/big_yalta/yalta/uchan-su.shtml
8,T3,stranitsy-istorii-gurzufa,4570,92,"Страницы истории Гурзуфа",https://jalita.com/big_yalta/gurzuf/history_1.shtml
8,T3,artek,1223,92,"Артек",https://jalita.com/big_yalta/gurzuf/artek.shtml
8,T3,arhitektura-livadijskogo-dvortsa-2,818,92,"Архитектура Ливадийского дворца",https://jalita.com/big_yalta/livadia/architecture_livadia.shtml
9,T3,gosdacha-4-yusupovskij-dvorets,670,92,"Госдача № 4. Юсуповский дворец",https://jalita.com/big_yalta/mishor/vip_cottage_4.shtml
9,T3,adalary-skaly-bliznetsy-u-gurzufa,612,92,"Адалары, скалы близнецы у Гурзуфа",https://jalita.com/big_yalta/gurzuf/adalary.shtml
9,T3,istoriya-otkrytiya-emine-bair-hosar,509,92,"История открытия Эмине-Баир-Хосар",https://jalita.com/guidebook/cave_crimea/emine-bair-hosar_history.shtml
9,T3,starinnye-usadby-dachi-villy-simeiza,423,92,"Старинные усадьбы, дачи, виллы Симеиза",https://jalita.com/big_yalta/simeiz/villa.shtml
9,T3,sovremennye-geologicheskie-yavleniya-na-chatyr-dage,1401,91,"Современные геологические явления на Чатыр-Даге",https://jalita.com/big_yalta/forest/chatyr-dag_geology_mod.shtml
9,T3,hozyajstvennaya-deyatelnost-cheloveka-na-chatyr-dage,461,91,"Хозяйственная деятельность человека на Чатыр-Даге",https://jalita.com/big_yalta/forest/chatyr-dag_agro.shtml
9,T3,ot-simeiza-do-buhty-laspi,1066,90,"От Симеиза до бухты Ласпи",https://jalita.com/big_yalta/simeiz/index.shtml
9,T3,genuezskaya-krepost-v-gurzufe,422,90,"Генуэзская крепость в Гурзуфе",https://jalita.com/big_yalta/gurzuf/djenevez-kaya_fort.shtml
9,T3,nikitskij-botanicheskij-sad,1507,89,"Никитский ботанический сад",https://jalita.com/big_yalta/nikita/index.shtml
9,T3,dostoprimechatelnosti-gurzufa,1193,89,"Достопримечательности Гурзуфа",https://jalita.com/big_yalta/gurzuf/places.shtml
10,T3,tavrskoe-svyatilishhe-u-gurzufskogo-sedla,873,89,"Таврское святилище у Гурзуфского седла",https://jalita.com/big_yalta/gurzuf/tavr_sanctuary.shtml
10,T3,uchan-su-reka-vodopadnaya,345,89,"Учан-Су, река (Водопадная)",https://jalita.com/big_yalta/yalta/uchan-su_river.shtml
10,T3,geologicheskoe-stroenie-chatyr-daga,1046,88,"Геологическое строение Чатыр-Дага",https://jalita.com/big_yalta/forest/chatyr-dag_geology.shtml
10,T3,chertova-lestnitsa-shajtan-merdven,960,88,"Чертова лестница (Шайтан-Мердвен)",https://jalita.com/big_yalta/simeiz/shajtan_merdven.shtml
10,T3,simeizskaya-observatoriya,719,88,"Симеизская обсерватория",https://jalita.com/big_yalta/simeiz/observatory.shtml
10,T3,sarychskij-forosskij-mayak,661,88,"Сарычский (Форосский) маяк",https://jalita.com/big_yalta/simeiz/foros_lighthouse.shtml
10,T3,zolotoj-plyazh-i-lastochkino-gnezdo,518,88,"Золотой пляж и Ласточкино гнездо",https://jalita.com/big_yalta/swallow_nest/zolotoy_plyazh.shtml
10,T3,klimat-i-vody-chatyr-daga,349,88,"Климат и воды Чатыр-Дага",https://jalita.com/big_yalta/forest/chatyr-dag_climate.shtml
10,T3,zemletryasenie-1927-goda-v-sevastopole,979,87,"Землетрясение 1927 года в Севастополе",https://jalita.com/guidebook/crimea/earthquake_sebastopol.shtml
10,T3,restavratsiya-lastochkinogo-gnezda,527,87,"Реставрация Ласточкиного гнезда",https://jalita.com/big_yalta/swallow_nest/project.shtml
11,T3,klimat-simeiza,523,86,"Климат Симеиза",https://jalita.com/big_yalta/simeiz/simeiz_climate.shtml
11,T3,maltsovy-osnovateli-kurorta-simeiz,1630,85,"Мальцовы — основатели курорта Симеиз",https://jalita.com/big_yalta/simeiz/simeiz_maltsov.shtml
11,T3,dasha-sevastopolskaya,448,85,"Даша Севастопольская",https://jalita.com/guidebook/crimea/dasha_sevastopolskaya.shtml
11,T3,tektonika-chatyr-daga,387,85,"Тектоника Чатыр-Дага",https://jalita.com/big_yalta/forest/chatyr-dag_tektonik.shtml
11,T3,gurzuf,2082,84,"Гурзуф",https://jalita.com/big_yalta/gurzuf/gurzuf.shtml
11,T3,v-yaltu-iz-sevastopolya-cherez-bajdarskie-vorota,815,84,"В Ялту из Севастополя через Байдарские ворота",https://jalita.com/big_yalta/road/to_yalta_sevas.shtml
11,T3,foros,750,84,"Форос",https://jalita.com/big_yalta/simeiz/foros.shtml
11,T3,ekspozitsiya-vorontsovskogo-dvortsa-2,461,84,"Экспозиция Воронцовского дворца",https://jalita.com/big_yalta/alupka/billiard_room.shtml
11,T3,kak-ranshe-na-more-ezdili-cherez-simferopol,905,83,"Как раньше на море ездили через Симферополь",https://jalita.com/big_yalta/road/old_path_to_yalta.shtml
11,T3,nikitskij-botanicheskij-sad-rekordy-interesnye-fakty,641,83,"Никитский ботанический сад: рекорды, интересные факты",https://jalita.com/big_yalta/nikita/records.shtml
12,T3,geograficheskoe-polozhenie-chatyr-daga,359,82,"Географическое положение Чатыр-Дага",https://jalita.com/big_yalta/forest/chatyr-dag_geografy.shtml
12,T3,gurzufskoe-sedlo,279,82,"Гурзуфское седло",https://jalita.com/big_yalta/gurzuf/gurzuf_saddle.shtml
12,T3,alupka,1130,81,"Алупка",https://jalita.com/big_yalta/alupka/alupka.shtml
12,T3,interery-livadijskogo-dvortsa,471,80,"Интерьеры Ливадийского дворца",https://jalita.com/big_yalta/livadia/interior_livadia.shtml
12,T3,kak-dobratsya-do-emine-bair-hosar,360,80,"Как добраться до Эмине-Баир-Хосар?",https://jalita.com/guidebook/cave_crimea/emine-bair-hosar_path.shtml
12,T3,laspi,669,78,"Ласпи",https://jalita.com/big_yalta/laspi/index.shtml
12,T3,livadijskij-organ,584,78,"Ливадийский орган",https://jalita.com/big_yalta/livadia/organ.shtml
12,T3,bajdarskie-vorota,457,78,"Байдарские ворота",https://jalita.com/big_yalta/simeiz/baidarskie_vorota.shtml
12,T3,buhta-laspi,318,78,"Бухта Ласпи",https://jalita.com/big_yalta/laspi/laspi_bay.shtml
12,T3,mastera-oformlyavshie-massandrovskij-dvorets,279,75,"Мастера, оформлявшие Массандровский дворец",https://jalita.com/big_yalta/massandra/mesmaher.shtml
13,T3,chatyr-dag-shater-gora,1124,72,"Чатыр-Даг (Шатер-Гора)",https://jalita.com/big_yalta/forest/chatyr-dag.shtml
13,T3,bajdarskaya-dolina,749,70,"Байдарская долина",https://jalita.com/big_yalta/simeiz/baidarskie_vale.shtml
13,T3,interery-livadijskogo-dvortsa-2-j-etazh,1716,66,"Интерьеры Ливадийского дворца, 2-й этаж",https://jalita.com/big_yalta/livadia/interior_livadia_2_floor.shtml
13,T3,peshhery-chatyr-daga,659,64,"Пещеры Чатыр-Дага",https://jalita.com/big_yalta/forest/chatyr-dag_cave.shtml
13,T3,istoriya-stroitelstva-massandrovskogo-dvortsa,1245,60,"История строительства Массандровского дворца",https://jalita.com/big_yalta/massandra/bushar.shtml
13,T3,yalta-2,1370,59,"Ялта",https://jalita.com/big_yalta/yalta/yalta.shtml
13,T3,livadijskij-park,1147,59,"Ливадийский парк",https://jalita.com/big_yalta/livadia/park_livadia.shtml
13,T3,klimat-laspi,310,40,"Климат Ласпи",https://jalita.com/big_yalta/laspi/index.shtml
13,T3,massandrovskij-park,714,35,"Массандровский парк",https://jalita.com/big_yalta/massandra/park_massandra.shtml
13,T3,bolshaya-yalta,422,33,"Большая Ялта",https://jalita.com/guidebook/crimea/big_yalta.shtml
14,T3,prirodnye-dostoprimechatelnosti-gurzufskogo-amfiteatra,523,20,"Природные достопримечательности гурзуфского амфитеатра",https://jalita.com/big_yalta/gurzuf/geography_3.shtml
14,T3,lastochkino-gnezdo,1730,11,"Ласточкино гнездо",https://jalita.com/big_yalta/swallow_nest/earthquake.shtml
14,T3,proishozhdenie-nazvaniya-bolshaya-yalta,376,4,"Происхождение названия Большая Ялта",https://jalita.com/guidebook/crimea/big_yalta.shtml
14,T3,yusupovskij-dvorets,366,3,"Юсуповский дворец",https://jalita.com/big_yalta/mishor/yusupov_palace.shtml
14,T3,simeiz,1813,2,"Симеиз",https://jalita.com/guidebook/palace.shtml
14,T3,poezdka-iz-yalty-v-simferopol,1123,0,"Поездка из Ялты в Симферополь",
14,T3,pereval-gurzufskoe-sedlo,853,0,"Перевал Гурзуфское седло",
14,T3,dolina-prividenij,564,0,"Долина привидений",
14,T3,gora-chatyr-dag,453,0,"Гора Чатыр-Даг",
14,T3,gurzufskaya-buhta,405,0,"Гурзуфская бухта",
15,T3,gora-demerdzhi,388,0,"Гора Демерджи",
15,T3,gora-kara-dag-vulkanicheskij-massiv,379,0,"Гора Кара-Даг (вулканический массив)",
15,T3,genuezskaya-krepost-v-sudake,369,0,"Генуэзская крепость в Судаке",
15,T3,muzej-kosmonavtiki-v-arteke,327,0,"Музей космонавтики в Артеке",
15,T3,livadijskij-organnyj-zal,325,0,"Ливадийский органный зал",
15,T3,gora-ayu-dag-medved-gora,270,0,"Гора Аю-Даг (Медведь гора)",
15,T4,aj-savva,425,100,"Ай-Савва",https://jalita.com/guidebook/legends/ai-savva.shtml
15,T4,skazanie-o-dzhanyke-iz-kyrk-ora,1165,99,"Сказание о Джаныке из Кырк-ора",https://jalita.com/guidebook/legends/djanike.shtml
15,T4,prekrasnaya-feodora,1097,99,"Прекрасная Феодора",https://jalita.com/guidebook/legends/beautiful_feodora.shtml
15,T4,o-rusalke-i-fontane-u-mishora,1064,99,"О русалке и фонтане у Мисхора",https://jalita.com/guidebook/legends/mermaid_mishor.shtml
16,T4,ifigeniya-v-tavride,1015,99,"Ифигения в Тавриде",https://jalita.com/guidebook/legends/ifigeniya_at_tavrida.shtml
16,T4,gora-dvuh-udodov-opuk,1003,99,"Гора двух удодов — Опук",https://jalita.com/guidebook/legends/rock_opuk.shtml
16,T4,delikli-kaya,933,99,"Деликли-Кая",https://jalita.com/guidebook/legends/delekli-kaya.shtml
16,T4,ptitsa-schastya,862,99,"Птица Счастья",https://jalita.com/guidebook/legends/bird_of_fortuna.shtml
16,T4,dlinnaya-krepost,756,98,"Длинная крепость",https://jalita.com/guidebook/legends/kazantip.shtml
16,T4,kamennye-parusniki-elken-kaya,753,98,"Каменные парусники (Элькен-Кая)",https://jalita.com/guidebook/legends/stone_sailers.shtml
16,T4,gora-kuznets,572,98,"Гора-кузнец",https://jalita.com/guidebook/legends/rock_kuznets.shtml
16,T4,hristianstvo-v-krymu,351,98,"Христианство в Крыму",https://jalita.com/guidebook/crimea/christianity.shtml
16,T4,mys-ili,986,97,"Мыс Ильи",https://jalita.com/guidebook/legends/mys_ilii.shtml
16,T4,dobycha-nefti-v-krymu,912,97,"Добыча нефти в Крыму",https://jalita.com/guidebook/crimea/oil.shtml
17,T4,kosmo-damianovskij-istochnik,711,97,"Косьмо-Дамиановский источник",https://jalita.com/guidebook/legends/kosmo-damian.shtml
17,T4,kupchaya-s-n-n-titushkinym-na-uchastok-zemli-v-krymu-ot-6-marta-1909-g,533,97,"Купчая с Н. Н. Титушкиным на участок земли в Крыму, от 6 марта 1909 г.",https://jalita.com/big_yalta/mishor/murad-avur_buy.shtml
17,T4,istochnik-vernosti,514,97,"Источник верности",https://jalita.com/guidebook/legends/spring_perchem.shtml
17,T4,rastitelnyj-mir-na-syuyuryu-kaya,469,97,"Растительный мир на Сююрю-Кая",https://jalita.com/big_yalta/forest/suuru-kaya_flora.shtml
17,T4,lesnoe-ischeznuvshee-selo-kryma,386,97,"Лесное — исчезнувшее село Крыма",https://jalita.com/guidebook/crimea/lesnoe.shtml
17,T4,klimat-yuzhnogo-berega-kryma,943,96,"Климат Южного берега Крыма",https://jalita.com/guidebook/crimea/ybk_climate.shtml
17,T4,krymskie-partizany,915,96,"Крымские партизаны",https://jalita.com/guidebook/crimea/partisan.shtml
17,T4,parkovoe-park,712,96,"Парковое. Парк",https://jalita.com/big_yalta/simeiz/parkovoe_park.shtml
17,T4,alushtit,703,96,"Алуштит",https://jalita.com/guidebook/crimea/alushtit.shtml
17,T4,yaltinskij-gidrotonnel,588,96,"Ялтинский гидротоннель",https://jalita.com/big_yalta/yalta/yalta_water_tunnel.shtml
18,T4,verhij-kastropol-v-gody-velikoj-otechestvennoj-vojny,559,96,"Верхий Кастрополь в годы Великой Отечественной войны",https://jalita.com/big_yalta/kastropol/sevas.shtml
18,T4,skala-diva-monah-i-koshka,338,96,"Скала Дива, Монах и Кошка",https://jalita.com/guidebook/legends/diva_monah_koshka.shtml
18,T4,sklep-berezinyh-v-suuk-su,1102,95,"Склеп Березиных в Суук-Су",https://jalita.com/big_yalta/gurzuf/crypt_suuk-su.shtml
18,T4,gibel-parohoda-lenin,825,95,"Гибель парохода «Ленин»",https://jalita.com/big_yalta/laspi/sarych_lenin.shtml
18,T4,istoriya-nemetskoj-lyuteranskoj-tserkvi-v-krymu,783,95,"История немецкой лютеранской церкви в Крыму",https://jalita.com/guidebook/crimea/luterane.shtml
18,T4,krymskoe-predgore,711,95,"Крымское предгорье",https://jalita.com/guidebook/crimea/predgorie.shtml
18,T4,potemkinskie-derevni,613,95,"«Потемкинские деревни»",https://jalita.com/guidebook/crimea/potemkin_village.shtml
18,T4,kurgan-slavy-nadpisi-na-pamyatnike,603,95,"Курган Славы. Надписи на памятнике",https://jalita.com/guidebook/crimea/dolgoruk-yayla_barrow.shtml
18,T4,na-sedam-kayu-cherez-vodopad-serebryanye-strui,564,95,"На Седам-Каю через водопад Серебряные струи",https://jalita.com/big_yalta/forest/sedam-kaya_waterfall.shtml
18,T4,s-imenem-yalty-na-bortu,392,95,"С именем Ялты на борту",https://jalita.com/big_yalta/yalta/with_name_yalta.shtml
19,T4,alupkinskij-park-verhnij-park,1492,94,"Алупкинский парк. Верхний парк",https://jalita.com/big_yalta/alupka/upper_park.shtml
19,T4,alupkinskij-park-nizhnij-park,1005,94,"Алупкинский парк. Нижний парк",https://jalita.com/big_yalta/alupka/lower_park.shtml
19,T4,dubki-krymskogo-predgorya,674,94,"Дубки Крымского предгорья",https://jalita.com/guidebook/crimea/dubki.shtml
19,T4,hram-devy,654,94,"Храм Девы",https://jalita.com/guidebook/crimea/temple_virgin.shtml
19,T4,vodopad-serebryanye-strui,633,94,"Водопад Серебряные струи",https://jalita.com/big_yalta/forest/silver_waterfall.shtml
19,T4,dom-muzej-antona-pavlovicha-chehova,622,94,"Дом-музей Антона Павловича Чехова",https://jalita.com/big_yalta/chehov/index.shtml
19,T4,kuchuk-isar,616,94,"Кучук-Исар",https://jalita.com/big_yalta/kastropol/kuchuk-isar.shtml
19,T4,arabatka-kurortnaya,577,94,"Арабатка курортная",https://jalita.com/guidebook/crimea/arabat_health_resort.shtml
19,T4,pushkinskaya-tropa-doroga-nikuda,508,94,"Пушкинская тропа. Дорога никуда",https://jalita.com/big_yalta/gurzuf/pushkin_path.shtml
19,T4,melasskij-park,354,94,"Меласский парк",https://jalita.com/big_yalta/simeiz/melas_park.shtml
20,T4,v-zujskij-les-k-partizanskomu-memorialu,1593,93,"В Зуйский лес, к партизанскому мемориалу",https://jalita.com/guidebook/crimea/dolgoruk-yayla_path.shtml
20,T4,alupkinskij-park,1110,93,"Алупкинский парк",https://jalita.com/big_yalta/alupka/creation_park.shtml
20,T4,kastel-gora,948,93,"Кастель, гора",https://jalita.com/big_yalta/alushta/kastel.shtml
20,T4,solyanoj-promysel-na-sivashe,886,93,"Соляной промысел на Сиваше",https://jalita.com/guidebook/crimea/sivash_salt.shtml
20,T4,arheologicheskie-pamyatniki-dolgorukovskoj-yajly,861,93,"Археологические памятники Долгоруковской яйлы",https://jalita.com/guidebook/crimea/dolgoruk-yayla_antiquities.shtml
20,T4,koreizskaya-tropa,617,93,"Кореизская тропа",https://jalita.com/big_yalta/mishor/koreiz_path.shtml
20,T4,mys-svyatoj-troitsy,615,93,"Мыс Святой Троицы",https://jalita.com/big_yalta/kastropol/troica.shtml
20,T4,shahty-chair-krymskij-ischeznuvshee-selo-kryma,542,93,"Шахты (Чаир, Крымский) исчезнувшее село Крыма",https://jalita.com/guidebook/crimea/krymskiy.shtml
20,T4,ekspozitsiya-alupkinskogo-dvortsa-3,517,93,"Экспозиция Алупкинского дворца",https://jalita.com/big_yalta/alupka/lobby.shtml
20,T4,tavrskie-mogilniki-v-krymu,510,93,"Таврские могильники в Крыму",https://jalita.com/guidebook/crimea/tavr_mogil.shtml
21,T4,pushkinskij-fontan,346,93,"Пушкинский фонтан",https://jalita.com/big_yalta/gurzuf/pushkin_fountain.shtml
21,T4,avunda-reka,298,93,"Авунда, река",https://jalita.com/big_yalta/gurzuf/avunda_river.shtml
21,T4,dom-muzej-a-p-chehova-v-yalte,3231,92,"Дом-музей А. П. Чехова в Ялте",https://jalita.com/big_yalta/chehov/cabinet_chehov.shtml
21,T4,rastitelnyj-mir-kryma,2567,92,"Растительный мир Крыма",https://jalita.com/guidebook/crimea/flora.shtml
21,T4,haraks,1203,92,"Харакс",https://jalita.com/big_yalta/swallow_nest/charax_fortress.shtml
21,T4,kastel-gora-pamyatnik-geologii,921,92,"Кастель, гора — памятник геологии",https://jalita.com/big_yalta/alushta/kastel_geology.shtml
